"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.601292292E0,-1.173559570E-1,8.307723999E-2,9.961335297E0,9.962372967E0
2.611209292E0,-1.130149841E-1,8.382568359E-2,9.959838409E0,9.960832308E0
2.621126292E0,-1.136137390E-1,8.831634521E-2,9.952353973E0,9.953394269E0
2.631043292E0,-1.176553345E-1,8.322692871E-2,9.954000549E0,9.955043769E0
2.640960292E0,-1.166075134E-1,8.517288208E-2,9.967622223E0,9.968668141E0
2.650877292E0,-1.053808594E-1,8.846603394E-2,9.957593079E0,9.958543633E0
2.660794292E0,-1.152603149E-1,7.484436035E-2,9.964179382E0,9.965127063E0
2.670711292E0,-1.133143616E-1,7.783813477E-2,9.966724091E0,9.967672146E0
2.680628292E0,-1.173559570E-1,8.008346558E-2,9.967771912E0,9.968784413E0
2.690545292E0,-1.124162292E-1,7.888595581E-2,9.956694946E0,9.957642023E0
2.700462292E0,-1.034349060E-1,8.921447754E-2,9.966275024E0,9.967211037E0
2.710379292E0,-1.040336609E-1,8.876541138E-2,9.966275024E0,9.967213260E0
2.720296292E0,-1.146615601E-1,7.933502197E-2,9.961634674E0,9.962610436E0
2.730213292E0,-1.107696533E-1,8.038284302E-2,9.951306152E0,9.952247257E0
2.740130292E0,-1.101708984E-1,8.307723999E-2,9.962083740E0,9.963039290E0
2.750047292E0,-1.113684082E-1,8.472381592E-2,9.956395569E0,9.957378860E0
2.759964292E0,-1.110690308E-1,8.891510010E-2,9.959539032E0,9.960555203E0
2.769881292E0,-1.142124939E-1,8.202941895E-2,9.954299927E0,9.955293082E0
2.779798292E0,-1.059796143E-1,8.577163696E-2,9.961784363E0,9.962717307E0
2.789715292E0,-1.146615601E-1,9.056167603E-2,9.963430939E0,9.964502233E0
2.799632292E0,-1.196012878E-1,7.679031372E-2,9.959089966E0,9.960104124E0
2.809549292E0,-1.210981750E-1,8.756790161E-2,9.955647125E0,9.956768682E0
