"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.817383000E0,-3.375480652E-1,5.176235962E-1,9.978399811E0,9.997516475E0
2.827301000E0,-3.126997375E-1,5.046006775E-1,9.946516113E0,9.964215261E0
2.837218000E0,-2.987786865E-1,4.935237122E-1,9.944869537E0,9.961589455E0
2.847136000E0,-3.204835510E-1,5.026547241E-1,9.947414246E0,9.965260742E0
2.857053000E0,-3.288661194E-1,5.188211060E-1,9.954299927E0,9.973234946E0
2.866970000E0,-3.079096985E-1,5.159770203E-1,9.951605530E0,9.969728847E0
2.876888000E0,-2.965333557E-1,5.107379150E-1,9.924062805E0,9.941619979E0
2.886805000E0,-2.829116821E-1,4.926255798E-1,9.969568176E0,9.985740263E0
2.896723000E0,-3.170407104E-1,5.174739075E-1,9.962532806E0,9.980999648E0
2.906640000E0,-3.225791931E-1,5.077441406E-1,9.961484985E0,9.979631484E0
2.916558000E0,-3.162922668E-1,5.060975647E-1,9.977351990E0,9.995185254E0
2.926475000E0,-3.164419556E-1,5.093907166E-1,9.949509888E0,9.967565471E0
2.936392000E0,-3.097059631E-1,5.040019226E-1,9.949659576E0,9.967229375E0
2.946310000E0,-3.240760803E-1,5.128335571E-1,9.959089966E0,9.977549625E0
2.956227000E0,-3.326083374E-1,5.213658142E-1,9.958491211E0,9.977674970E0
2.966145000E0,-3.138972473E-1,5.125341797E-1,9.948611755E0,9.966749652E0
2.976062000E0,-3.088078308E-1,5.108876038E-1,9.938732300E0,9.956644422E0
2.985979000E0,-3.080593872E-1,5.185217285E-1,9.957593079E0,9.975842084E0
2.995897000E0,-3.119512939E-1,4.986131287E-1,9.963430939E0,9.980775758E0
3.005814000E0,-3.186872864E-1,5.113366699E-1,9.948462067E0,9.966690738E0
3.015732000E0,-3.323089600E-1,5.164260864E-1,9.969568176E0,9.988464085E0
3.025649000E0,-3.294648743E-1,5.098397827E-1,9.955198059E0,9.973687989E0
3.035567000E0,-3.255729675E-1,5.236111450E-1,9.946067047E0,9.965160114E0
3.045484000E0,-3.372486877E-1,5.209167480E-1,9.959688721E0,9.979002473E0
3.055401000E0,-3.064128113E-1,5.075944519E-1,9.959688721E0,9.977321301E0
3.065319000E0,-2.974314880E-1,5.078938293E-1,9.940378876E0,9.957788601E0
3.075236000E0,-3.158432007E-1,5.261558533E-1,9.928254089E0,9.947201927E0
3.085154000E0,-3.478765869E-1,5.260061646E-1,9.906249847E0,9.926302768E0
3.095071000E0,-2.841091919E-1,4.797523499E-1,1.000324814E1,1.001877506E1
3.104989000E0,-2.869532776E-1,5.010081482E-1,9.965227203E0,9.981938918E0
3.114906000E0,-2.477348328E-1,4.929249573E-1,9.940229187E0,9.955526297E0
3.124823000E0,-2.263293457E-1,4.646337891E-1,9.981393585E0,9.994765001E0
3.134741000E0,-2.456391907E-1,4.815486145E-1,9.967472534E0,9.982120837E0
